rubric,complete_rubric,category,sub_category,remedy_short_name,grade,page
ABUSIVE,"MIND - ABUSIVE",mind,main,con,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,dulc,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,ip,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,lyc,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,mosch,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,nit-ac,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,plb,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,ran-b,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,spong,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,stram,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,tub,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,viol-t,1,2
"ABUSIVE, angry, without being","MIND - ABUSIVE - angry, without being",mind,sub,dulc,1,2
"ABUSIVE, evening","MIND - ABUSIVE - evening",mind,sub,am-c,1,2
"ABUSIVE, forenoon","MIND - ABUSIVE - forenoon",mind,sub,ran-b,1,2
"ABUSIVE, pains, with the","MIND - ABUSIVE - pains, with the",mind,sub,cor-r,1,2
"ABUSIVE, scolds until the lips are blue and eyes stare and she falls down fainting","MIND - ABUSIVE - scolds until the lips are blue and eyes stare and she falls down fainting",mind,sub,mosch,1,2
"ACTIVITY, desires, fruitless","MIND - ACTIVITY, DESIRES - fruitless",mind,sub,stann,1,2
"ACUTENESS, ADMONITION agg","MIND - ACUTENESS - ADMONITION agg",mind,sub,bell,2,2
"ACUTENESS, ADMONITION agg","MIND - ACUTENESS - ADMONITION agg",mind,sub,plat,2,2
AFFECTION,"MIND - AFFECTION",mind,main,stram,2,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,puls,3,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,anac,2,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,croc,2,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,ign,2,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,nat-m,2,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,nux-v,2,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,acon,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,ant-c,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,bor,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,carb-an,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,carb-v,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,coff,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,hura,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,ox-ac,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,par,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,phos,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,plat,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,seneg,1,2
AFFECTIONATE,"MIND - AFFECTIONATE",mind,main,verat,1,2
"AMUSEMENT, averse to","MIND - AMUSEMENT - averse to",mind,sub,bar-c,1,2
"AMUSEMENT, averse to","MIND - AMUSEMENT - averse to",mind,sub,lil-t,1,2
"AMUSEMENT, averse to","MIND - AMUSEMENT - averse to",mind,sub,meny,1,2
"AMUSEMENT, averse to","MIND - AMUSEMENT - averse to",mind,sub,olnd,1,2
"AMUSEMENT, averse to","MIND - AMUSEMENT - averse to",mind,sub,sulph,1,2
"AMUSEMENT, desire for","MIND - AMUSEMENT - desire for",mind,sub,lach,1,2
"AMUSEMENT, desire for","MIND - AMUSEMENT - desire for",mind,sub,pip-m,1,2
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,anac,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,ars,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,aur,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,bry,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,cham,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,hep,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,ign,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,kali-c,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,kali-s,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,lyc,3,3
"ANGER, irascibility","MIND - ANGER, IRASCIBILITY",mind,main,nat-m,3,3
